	Title	Authors	Number of URL Namespaces	Number of Regex Namespaces	Number of URL Annotations	Number of Regex Annotations	Number of Local Annotations	Number of Nodes	Number of Edges	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings
Lokugamage_et.al_2020.bel	Lokugamage_et.al_2020.bel	Thrishna	6	2	1	1	5	13	14	1	0	8.97E-02	3	0
Meng_et.al_2020.bel	Meng_et.al_2020.bel	Thrishna	4	0	0	0	3	8	9	1	0	1.61E-01	1	0
Nehzad_et.al_2020.bel	Nezhad_et.al_2020.bel	Shounak Baksi	5	1	3	0	3	23	31	1	0	6.13E-02	2	0
Omotuyi_et.al_2020.bel	Omotuyi_et.al_2020.bel	Priya S	3	1	0	1	3	6	10	1	0	3.33E-01	1	0
Pfaender_et.al_2020.bel	Pfaender_et.al_2020.bel	Thrishna	4	1	0	0	4	8	12	1	0	2.14E-01	1	0
Pizzorno_et.al_2020.bel	Pizzorno_et.al_2020.bel	Abish K	7	1	2	0	6	37	77	1	0	5.78E-02	1	0
Rao_et.al_2020.bel	Rao_et.al_2020	Geena Mariya Jose	6	0	2	0	3	20	35	1	0	9.21E-02	1	0
Rodrigues_et.al_2020.bel	Rodrigues_et.al_2020.bel	Abish K	7	0	3	0	7	15	34	1	0	1.62E-01	1	0
Rossi_et.al_2020.bel	Rossi_et.al_2020.bel	Shounak Baksi	5	0	1	0	4	17	42	1	0	1.54E-01	1	0
Rothan_et.al_2020.bel	Rothan_et.al_2020.bel	Shounak Baksi	5	0	2	1	6	0	0	0	0	0.00E+00	0	35
SIF2BEL_RK.bel	https://doi.org/10.1101/2020.03.22.002386	Reagon Karki	1	0	0	0	1	1077	1513	1	0	1.31E-03	16	0
Shaghaghi_et.al_2020.bel	Shaghaghi_et.al_2020.bel	Priya S	3	1	0	1	3	21	28	1	0	6.67E-02	1	0
Tetz_et.al_2020.bel	Tetz_et.al_2020.bel	Priya S	5	0	0	0	3	6	10	1	0	3.33E-01	1	0
Thevarajan_et.al_2020.bel	Thevarajan_et.al_2020.bel	Priya S	4	2	1	0	6	17	22	1	0	8.09E-02	1	0
Thuy_et.al_2020.bel	Thuy_et.al_2020.bel	Priya S	4	1	0	1	3	54	105	1	0	3.67E-02	1	0
Wang_et.al_2020.bel	Wang_et.al_2020.bel	Thrishna	8	2	1	1	6	10	15	1	0	1.67E-01	2	0
Yang_et.al_2020.bel	Yang_et.al_2020.bel	Thrishna	4	0	1	0	5	21	33	1	0	7.86E-02	1	0
Zhang_et.al_2020.bel	Zhang_et.al_2020.bel	Geena Mariya Jose	9	1	3	0	6	20	41	1	0	1.08E-01	1	0
Zhu_et.al_2020.bel	Zhu_et.al_2020.bel	Abish K	7	0	2	1	9	0	0	0	0	0.00E+00	0	73
